"items","support","count"
"{body spray,mineral water}",0.00413278229569391,31
"{body spray,french fries}",0.00426609785361952,32
"{cider,eggs}",0.00426609785361952,32
"{mineral water,nonfat milk}",0.00506599120117318,38
"{pasta,shrimp}",0.00506599120117318,38
"{escalope,pasta}",0.00586588454872684,44
"{extra dark chocolate,mineral water}",0.00573256899080123,43
"{extra dark chocolate,spaghetti}",0.00413278229569391,31
"{gums,mineral water}",0.00493267564324757,37
"{mineral water,white wine}",0.00439941341154513,33
"{spaghetti,white wine}",0.00453272896947074,34
"{fromage blanc,mineral water}",0.00453272896947074,34
"{mineral water,mint}",0.00586588454872684,44
"{black tea,mineral water}",0.0053326223170244,40
"{black tea,spaghetti}",0.00453272896947074,34
"{black tea,eggs}",0.00493267564324757,37
"{black tea,milk}",0.00426609785361952,32
"{mushroom cream sauce,spaghetti}",0.00426609785361952,32
"{chocolate,mushroom cream sauce}",0.00439941341154513,33
"{french fries,mushroom cream sauce}",0.00466604452739635,35
"{escalope,mushroom cream sauce}",0.00573256899080123,43
"{mineral water,tomato sauce}",0.00573256899080123,43
"{spaghetti,tomato sauce}",0.00626583122250367,47
"{chocolate,tomato sauce}",0.00506599120117318,38
"{ground beef,tomato sauce}",0.0053326223170244,40
"{mineral water,strawberries}",0.00506599120117318,38
"{spaghetti,strawberries}",0.00413278229569391,31
"{french fries,strawberries}",0.00573256899080123,43
"{carrots,mineral water}",0.0053326223170244,40
"{carrots,spaghetti}",0.00466604452739635,35
"{mineral water,muffins}",0.00439941341154513,33
"{french fries,muffins}",0.0053326223170244,40
"{light cream,mineral water}",0.00733235568590855,55
"{light cream,spaghetti}",0.0053326223170244,40
"{chicken,light cream}",0.00453272896947074,34
"{mineral water,protein bar}",0.00773230235968538,58
"{protein bar,spaghetti}",0.00506599120117318,38
"{meatballs,mineral water}",0.00773230235968538,58
"{meatballs,spaghetti}",0.00639914678042928,48
"{eggs,meatballs}",0.00439941341154513,33
"{meatballs,milk}",0.00546593787495001,41
"{mineral water,yogurt cake}",0.00559925343287562,42
"{eggs,yogurt cake}",0.00453272896947074,34
"{chocolate,yogurt cake}",0.00439941341154513,33
"{french fries,yogurt cake}",0.00506599120117318,38
"{energy bar,mineral water}",0.00679909345420611,51
"{energy bar,spaghetti}",0.00439941341154513,33
"{eggs,energy bar}",0.00519930675909879,39
"{energy bar,french fries}",0.00479936008532196,36
"{energy bar,milk}",0.00546593787495001,41
"{energy bar,frozen vegetables}",0.00413278229569391,31
"{energy drink,mineral water}",0.00559925343287562,42
"{energy drink,spaghetti}",0.00426609785361952,32
"{eggs,energy drink}",0.00493267564324757,37
